,gen,gen err,DP pre,DP pre err,DP dbn,DP dbn err,DP pos,DP pos err,CD4 spl,CD4 spl err,CD4 negS,CD4 negS err,CD8 spl,CD8 spl err,CD8 negS,CD8 negS err
TRAV7-3,0.00782,0.00016208179416578533,0.014346103038309115,0.00043844196515884523,0.009803428686340557,0.0007054709073829896,0.017451949022375356,0.0003839587188589784,0.014440848064658228,0.0005296883120090267,0.015637494446912484,0.001187900861452915,0.022395770433289053,0.0005543031682113021,0.01885057471264368,0.0021012267287074545
TRAV5-1,0.007813333333333334,0.0001620121550081054,0.007569352708058124,0.0003174087582202829,0.007440551002966166,0.000613880664070524,0.008294242185229773,0.0002635042424150738,0.007565165763315649,0.00038208190709704075,0.0064860062194580185,0.0007615874893123635,0.007407109214604887,0.00031643296088446375,0.006666666666666667,0.001242088629476101
TRAV9N-2,0.0072566666666666665,0.00015609106186003282,0.0034874504623513872,0.00021501168206039515,0.0048765773465386355,0.0004963472401799137,0.005994437295030927,0.00022375750585140397,0.014345086472717523,0.0005279042113399678,0.007641048422923145,0.0008270973928108737,0.00747420259517196,0.00031787343517026835,0.008735632183908045,0.0014232828697259392
TRAV9-3,0.007116666666666667,0.00015456728428218686,0.009445178335535006,0.00035489388015769256,0.01035644261223669,0.0007252943600313187,0.009880028228652082,0.0002878190904979858,0.024802252312642447,0.0006977121287672805,0.011639271434917815,0.0010228288954205814,0.009299142546596353,0.00035488385320076276,0.00896551724137931,0.0014420529539581719
TRAV13D-4,0.00683,0.00015140067040802694,0.004002642007926023,0.00023040551096796134,0.0045749333869589265,0.0004806791089010963,0.003536884054962846,0.0001716653697156929,0.0027387815295041463,0.00022934183207251442,0.0029320302087960906,0.0005111486537602391,0.0038511600445500045,0.0002277641049500707,0.005057471264367816,0.0010809796833670603
TRAV4-2,0.00682,0.00015128904344554058,0.003249669749009247,0.00020752775442614457,0.004323563420642502,0.00046722861655342776,0.005114367553655195,0.0002065900118882554,0.007392794897822382,0.000377671684526699,0.007729897823189694,0.0008319288759809641,0.0025898044898890276,0.00018665944358369684,0.0016091954022988506,0.0006087078668450043
TRAV13-4/DV7,0.00655,0.00014824419606401684,0.008110964332892998,0.00032865668859830374,0.007289729023176311,0.0006075815626784642,0.006044252563410685,0.00022469088553521747,0.00455825177637753,0.0002961402195918999,0.004886717014660151,0.0006605328152226195,0.005474819854273177,0.0002717849170534827,0.005747126436781609,0.0011527235015599913
TRAV7-6,0.006166666666666667,0.00014381347229941574,0.010184940554821664,0.00036866486893502793,0.011311648484239102,0.0007583630183705555,0.008236124372120054,0.0002625718638780377,0.007220424032329114,0.00037321087464330224,0.00888494002665482,0.0008924323819091617,0.007380271862378058,0.0003158549853009636,0.008735632183908045,0.0014232828697259392
TRAV6-1,0.0056166666666666665,0.0001372128955444921,0.004715984147952444,0.000250184203061481,0.0027147956362173846,0.00036993802542542695,0.006899414670596538,0.00024016227015586988,0.004156053090226572,0.00028271693573629137,0.004087072412261217,0.0006038361428016354,0.007688901412986595,0.00032244097008909614,0.009655172413793104,0.0014970004313709692
TRAV16,0.00541,0.00013465100692778596,0.004610303830911493,0.0002473521263365932,0.005580413252224624,0.0005311452167528995,0.008576528706048404,0.000267988287435507,0.003926225269568881,0.00027475726396963395,0.005242114615726344,0.0006842516353161048,0.009178374461575621,0.00035255078746901895,0.014942528735632184,0.0018671884267096553
